"Date","Price","Open","High","Low","Change %"
"Jan 29, 1995","1.2345","1.2460","1.2569","1.2310","-0.93%"
"Jan 22, 1995","1.2461","1.2500","1.2567","1.2435","-0.32%"
"Jan 15, 1995","1.2501","1.2346","1.2531","1.2319","1.26%"
"Jan 08, 1995","1.2346","1.2184","1.2400","1.2165","1.45%"
"Jan 01, 1995","1.2170","1.2269","1.2285","1.2159","-0.81%"
"Dec 25, 1994","1.2269","1.2045","1.2282","1.2038","1.86%"
"Dec 18, 1994","1.2045","1.2100","1.2140","1.2025","-0.64%"
"Dec 11, 1994","1.2122","1.2120","1.2150","1.2073","0.11%"
"Dec 04, 1994","1.2109","1.2092","1.2192","1.2059","0.22%"
"Nov 27, 1994","1.2082","1.2205","1.2222","1.2075","-1.11%"
"Nov 20, 1994","1.2218","1.2242","1.2303","1.2185","-0.26%"
"Nov 13, 1994","1.2250","1.2435","1.2435","1.2205","-1.50%"
"Nov 06, 1994","1.2437","1.2582","1.2643","1.2382","-1.00%"
"Oct 30, 1994","1.2563","1.2609","1.2765","1.2471","-0.39%"
"Oct 23, 1994","1.2612","1.2674","1.2812","1.2563","-0.59%"
"Oct 16, 1994","1.2687","1.2515","1.2771","1.2515","1.22%"
"Oct 09, 1994","1.2534","1.2358","1.2558","1.2325","1.42%"
"Oct 02, 1994","1.2358","1.2324","1.2449","1.2260","0.28%"
"Sep 25, 1994","1.2324","1.2313","1.2402","1.2270","-0.06%"
"Sep 18, 1994","1.2331","1.2349","1.2383","1.2247","-0.52%"
"Sep 11, 1994","1.2395","1.2398","1.2440","1.2292","0.10%"
"Sep 04, 1994","1.2383","1.2273","1.2410","1.2198","0.92%"
"Aug 28, 1994","1.2270","1.2096","1.2275","1.1980","1.44%"
"Aug 21, 1994","1.2096","1.2350","1.2452","1.2050","-1.98%"
"Aug 14, 1994","1.2340","1.2240","1.2373","1.2150","0.92%"
"Aug 07, 1994","1.2227","1.2117","1.2272","1.2005","1.11%"
"Jul 31, 1994","1.2093","1.2065","1.2175","1.2001","0.06%"
"Jul 24, 1994","1.2086","1.2020","1.2195","1.1980","0.80%"
"Jul 17, 1994","1.1990","1.2350","1.2395","1.1950","-2.41%"
"Jul 10, 1994","1.2286","1.2260","1.2573","1.2245","1.49%"
"Jul 03, 1994","1.2106","1.1978","1.2197","1.1938","1.03%"
"Jun 26, 1994","1.1982","1.2136","1.2182","1.1909","-0.96%"
"Jun 19, 1994","1.2098","1.1929","1.2121","1.1900","1.43%"
"Jun 12, 1994","1.1927","1.1598","1.1944","1.1598","2.92%"
"Jun 05, 1994","1.1589","1.1551","1.1605","1.1521","0.42%"
"May 29, 1994","1.1540","1.1708","1.1738","1.1535","-1.51%"
"May 22, 1994","1.1717","1.1698","1.1738","1.1637","0.15%"
"May 15, 1994","1.1699","1.1556","1.1720","1.1487","1.33%"
"May 08, 1994","1.1545","1.1570","1.1656","1.1465","-0.32%"
"May 01, 1994","1.1582","1.1664","1.1794","1.1496","-0.83%"
"Apr 24, 1994","1.1679","1.1476","1.1742","1.1447","2.16%"
"Apr 17, 1994","1.1432","1.1301","1.1465","1.1233","1.23%"
"Apr 10, 1994","1.1293","1.1334","1.1348","1.1235","-0.04%"
"Apr 03, 1994","1.1298","1.1354","1.1411","1.1244","-0.62%"
"Mar 27, 1994","1.1368","1.1540","1.1593","1.1368","-1.53%"
"Mar 20, 1994","1.1545","1.1351","1.1588","1.1325","1.45%"
"Mar 13, 1994","1.1380","1.1470","1.1505","1.1362","-0.78%"
"Mar 06, 1994","1.1470","1.1240","1.1533","1.1225","1.89%"
"Feb 27, 1994","1.1257","1.1329","1.1398","1.1245","-0.51%"
"Feb 20, 1994","1.1315","1.1310","1.1360","1.1155","0.22%"
"Feb 13, 1994","1.1290","1.1078","1.1300","1.1055","2.08%"
"Feb 06, 1994","1.1060","1.1048","1.1098","1.1010","-0.06%"
"Jan 30, 1994","1.1067","1.1154","1.1265","1.1035","-0.75%"
"Jan 23, 1994","1.1151","1.1075","1.1270","1.1070","0.58%"
"Jan 16, 1994","1.1087","1.1071","1.1190","1.1062","0.00%"
"Jan 09, 1994","1.1087","1.1217","1.1228","1.1047","-1.19%"
"Jan 02, 1994","1.1220","1.1130","1.1222","1.1107","0.81%"
"Dec 26, 1993","1.1130","1.1372","1.1385","1.1130","-2.45%"
"Dec 19, 1993","1.1410","1.1276","1.1424","1.1256","1.03%"
"Dec 12, 1993","1.1294","1.1365","1.1388","1.1229","-0.62%"
"Dec 05, 1993","1.1365","1.1195","1.1385","1.1195","1.52%"
"Nov 28, 1993","1.1195","1.1219","1.1265","1.1135","-0.22%"
"Nov 21, 1993","1.1220","1.1206","1.1316","1.1182","0.17%"
"Nov 14, 1993","1.1201","1.1366","1.1393","1.1184","-1.51%"
"Nov 07, 1993","1.1373","1.1342","1.1393","1.1265","0.35%"
"Oct 31, 1993","1.1333","1.1326","1.1373","1.1255","0.03%"
"Oct 24, 1993","1.1330","1.1411","1.1480","1.1302","-0.60%"
"Oct 17, 1993","1.1398","1.1673","1.1673","1.1387","-2.51%"
"Oct 10, 1993","1.1692","1.1789","1.1888","1.1684","-0.68%"
"Oct 03, 1993","1.1772","1.1639","1.1803","1.1487","1.19%"
"Sep 26, 1993","1.1633","1.1681","1.1822","1.1547","0.03%"
