"Date","Price","Open","High","Low","Change %"
"Dec 24, 1995","8.3174","8.3174","8.3174","8.3174","0.00%"
"Dec 17, 1995","8.3174","8.3174","8.3174","8.3174","0.00%"
"Dec 10, 1995","8.3171","8.3171","8.3171","8.3171","0.04%"
"Dec 03, 1995","8.3138","8.3138","8.3138","8.3138","0.01%"
"Nov 26, 1995","8.3127","8.3127","8.3127","8.3127","0.01%"
"Nov 19, 1995","8.3122","8.3122","8.3122","8.3122","-0.01%"
"Nov 12, 1995","8.3132","8.3132","8.3132","8.3132","-0.01%"
"Nov 05, 1995","8.3140","8.3140","8.3140","8.3140","-0.01%"
"Oct 29, 1995","8.3147","8.3147","8.3147","8.3147","0.00%"
"Oct 22, 1995","8.3144","8.3144","8.3144","8.3144","0.00%"
"Oct 15, 1995","8.3144","8.3144","8.3144","8.3144","0.00%"
"Oct 08, 1995","8.3142","8.3142","8.3142","8.3142","-0.04%"
"Oct 01, 1995","8.3174","8.3174","8.3174","8.3174","-0.01%"
"Sep 24, 1995","8.3185","8.3185","8.3185","8.3185","-0.01%"
"Sep 17, 1995","8.3194","8.3194","8.3194","8.3194","0.00%"
"Sep 10, 1995","8.3194","8.3194","8.3194","8.3194","0.03%"
"Sep 03, 1995","8.3171","8.3171","8.3171","8.3171","-0.03%"
"Aug 27, 1995","8.3192","8.3192","8.3192","8.3192","0.05%"
"Aug 20, 1995","8.3153","8.3153","8.3153","8.3153","0.04%"
"Aug 13, 1995","8.3117","8.3117","8.3117","8.3117","0.11%"
"Aug 06, 1995","8.3025","8.3025","8.3025","8.3025","0.03%"
"Jul 30, 1995","8.3002","8.3002","8.3002","8.3002","-0.00%"
"Jul 23, 1995","8.3003","8.3003","8.3003","8.3003","0.00%"
"Jul 16, 1995","8.3002","8.3002","8.3002","8.3002","-0.01%"
"Jul 09, 1995","8.3011","8.3011","8.3011","8.3011","0.01%"
"Jul 02, 1995","8.3000","8.3000","8.3000","8.3000","-0.01%"
"Jun 25, 1995","8.3011","8.3011","8.3011","8.3011","-0.00%"
"Jun 18, 1995","8.3015","8.3015","8.3015","8.3015","0.01%"
"Jun 11, 1995","8.3004","8.3004","8.3004","8.3004","0.00%"
"Jun 04, 1995","8.3000","8.3000","8.3000","8.3000","-0.02%"
"May 28, 1995","8.3018","8.3018","8.3018","8.3018","-0.05%"
"May 21, 1995","8.3063","8.3063","8.3063","8.3063","0.16%"
"May 14, 1995","8.2932","8.2932","8.2932","8.2932","0.13%"
"May 07, 1995","8.2828","8.2828","8.2828","8.2828","-0.74%"
"Apr 30, 1995","8.3442","8.3442","8.3442","8.3442","-0.75%"
"Apr 23, 1995","8.4074","8.4074","8.4074","8.4074","-0.19%"
"Apr 16, 1995","8.4230","8.4230","8.4230","8.4230","-0.01%"
"Apr 09, 1995","8.4241","8.4241","8.4241","8.4241","-0.01%"
"Apr 02, 1995","8.4251","8.4251","8.4251","8.4251","-0.02%"
"Mar 26, 1995","8.4264","8.4264","8.4264","8.4264","-0.01%"
"Mar 19, 1995","8.4276","8.4276","8.4276","8.4276","0.00%"
"Mar 12, 1995","8.4273","8.4273","8.4273","8.4273","0.01%"
"Mar 05, 1995","8.4261","8.4261","8.4261","8.4261","-0.04%"
"Feb 26, 1995","8.4294","8.4294","8.4294","8.4294","-0.03%"
"Feb 19, 1995","8.4320","8.4320","8.4320","8.4320","-0.04%"
"Feb 12, 1995","8.4352","8.4352","8.4352","8.4352","-0.01%"
"Feb 05, 1995","8.4360","8.4360","8.4360","8.4360","-0.03%"
"Jan 29, 1995","8.4384","8.4384","8.4384","8.4384","0.00%"
"Jan 22, 1995","8.4384","8.4384","8.4384","8.4384","-0.02%"
"Jan 15, 1995","8.4402","8.4402","8.4402","8.4402","-0.01%"
"Jan 08, 1995","8.4411","8.4411","8.4411","8.4411","-0.02%"
"Jan 01, 1995","8.4426","8.4426","8.4426","8.4426","-0.04%"
"Dec 25, 1994","8.4462","8.4462","8.4462","8.4462","-0.19%"
"Dec 18, 1994","8.4626","8.4626","8.4626","8.4626","-0.25%"
"Dec 11, 1994","8.4835","8.4835","8.4835","8.4835","-0.18%"
"Dec 04, 1994","8.4992","8.4992","8.4992","8.4992","-0.10%"
"Nov 27, 1994","8.5079","8.5079","8.5079","8.5079","-0.03%"
"Nov 20, 1994","8.5105","8.5105","8.5105","8.5105","-0.04%"
"Nov 13, 1994","8.5136","8.5136","8.5136","8.5136","-0.05%"
"Nov 06, 1994","8.5180","8.5180","8.5180","8.5180","-0.07%"
"Oct 30, 1994","8.5238","8.5238","8.5238","8.5238","-0.03%"
"Oct 23, 1994","8.5266","8.5266","8.5266","8.5266","-0.03%"
"Oct 16, 1994","8.5295","8.5295","8.5295","8.5295","-0.00%"
"Oct 09, 1994","8.5297","8.5297","8.5297","8.5297","-0.00%"
"Oct 02, 1994","8.5300","8.5300","8.5300","8.5300","0.00%"
"Sep 25, 1994","8.5300","8.5300","8.5300","8.5300","-0.02%"
"Sep 18, 1994","8.5320","8.5320","8.5320","8.5320","-0.04%"
"Sep 11, 1994","8.5352","8.5352","8.5352","8.5352","-0.08%"
"Sep 04, 1994","8.5422","8.5422","8.5422","8.5422","-0.14%"
"Aug 28, 1994","8.5540","8.5540","8.5540","8.5540","-0.16%"
"Aug 21, 1994","8.5675","8.5675","8.5675","8.5675","-0.15%"
"Aug 14, 1994","8.5801","8.5801","8.5801","8.5801","-0.16%"
"Aug 07, 1994","8.5938","8.5938","8.5938","8.5938","-0.14%"
"Jul 31, 1994","8.6055","8.6055","8.6055","8.6055","-0.16%"
"Jul 24, 1994","8.6197","8.6197","8.6197","8.6197","-0.16%"
"Jul 17, 1994","8.6335","8.6335","8.6335","8.6335","-0.11%"
"Jul 10, 1994","8.6429","8.6429","8.6429","8.6429","-0.05%"
"Jul 03, 1994","8.6474","8.6474","8.6474","8.6474","-0.03%"
"Jun 26, 1994","8.6501","8.6501","8.6501","8.6501","-0.05%"
"Jun 19, 1994","8.6544","8.6544","8.6544","8.6544","-0.03%"
"Jun 12, 1994","8.6571","8.6571","8.6571","8.6571","-0.01%"
"Jun 05, 1994","8.6583","8.6583","8.6583","8.6583","-0.01%"
"May 29, 1994","8.6591","8.6591","8.6591","8.6591","-0.01%"
"May 22, 1994","8.6598","8.6598","8.6598","8.6598","-0.00%"
"May 15, 1994","8.6602","8.6602","8.6602","8.6602","-0.01%"
"May 08, 1994","8.6610","8.6610","8.6610","8.6610","-0.06%"
"May 01, 1994","8.6664","8.6664","8.6664","8.6664","-0.21%"
"Apr 24, 1994","8.6847","8.6847","8.6847","8.6847","-0.09%"
"Apr 17, 1994","8.6925","8.6925","8.6925","8.6925","-0.23%"
"Apr 10, 1994","8.7129","8.7129","8.7129","8.7129","0.06%"
"Apr 03, 1994","8.7080","8.7080","8.7080","8.7080","0.00%"
"Mar 27, 1994","8.7080","8.7080","8.7080","8.7080","-0.07%"
"Mar 20, 1994","8.7142","8.7142","8.7142","8.7142","0.04%"
"Mar 13, 1994","8.7110","8.7110","8.7110","8.7110","-0.02%"
"Mar 06, 1994","8.7129","8.7129","8.7129","8.7129","-0.07%"
"Feb 27, 1994","8.7189","8.7189","8.7189","8.7189","0.28%"
"Feb 20, 1994","8.6947","8.6947","8.6947","8.6947","-0.24%"
"Feb 13, 1994","8.7152","8.7152","8.7152","8.7152","-0.04%"
"Feb 06, 1994","8.7183","8.7183","8.7183","8.7183","0.06%"
"Jan 30, 1994","8.7131","8.7131","8.7131","8.7131","0.15%"
"Jan 23, 1994","8.7000","8.7000","8.7000","8.7000","0.00%"
"Jan 16, 1994","8.7000","8.7000","8.7000","8.7000","-0.13%"
"Jan 09, 1994","8.7109","8.7109","8.7109","8.7109","0.06%"
"Jan 02, 1994","8.7058","8.7058","8.7058","8.7058","50.10%"
"Dec 26, 1993","5.8000","5.8000","5.8000","5.8000","-0.17%"
"Dec 19, 1993","5.8100","5.8100","5.8100","5.8100","0.00%"
"Dec 12, 1993","5.8100","5.8100","5.8100","5.8100","0.00%"
"Dec 05, 1993","5.8100","5.8100","5.8100","5.8100","0.09%"
"Nov 28, 1993","5.8050","5.8050","5.8050","5.8050","0.00%"
"Nov 21, 1993","5.8050","5.8050","5.8050","5.8050","-0.12%"
"Nov 14, 1993","5.8122","5.8122","5.8122","5.8122","0.44%"
"Nov 07, 1993","5.7868","5.7868","5.7868","5.7868","0.00%"
"Oct 31, 1993","5.7868","5.7868","5.7868","5.7868","0.00%"
