"Date","Price","Open","High","Low","Change %"
"Oct 02, 1994","31.369","31.371","31.374","31.369","0.02%"
"Sep 25, 1994","31.363","31.372","31.377","31.363","-0.02%"
"Sep 18, 1994","31.369","31.371","31.374","31.366","0.00%"
"Sep 11, 1994","31.369","31.371","31.376","31.366","-0.01%"
"Sep 04, 1994","31.373","31.370","31.373","31.367","0.01%"
"Aug 28, 1994","31.370","31.370","31.390","31.367","0.00%"
"Aug 21, 1994","31.370","31.370","31.377","31.360","0.00%"
"Aug 14, 1994","31.370","31.375","31.375","31.367","-0.00%"
"Aug 07, 1994","31.371","31.371","31.391","31.369","0.00%"
"Jul 31, 1994","31.370","31.373","31.377","31.370","0.00%"
"Jul 24, 1994","31.370","31.367","31.375","31.365","-0.01%"
"Jul 17, 1994","31.374","31.371","31.374","31.354","0.03%"
"Jul 10, 1994","31.366","31.371","31.374","31.366","-0.01%"
"Jul 03, 1994","31.370","31.373","31.388","31.367","0.00%"
"Jun 26, 1994","31.369","31.371","31.374","31.366","0.00%"
"Jun 19, 1994","31.369","31.371","31.374","31.369","0.00%"
"Jun 12, 1994","31.369","31.369","31.374","31.369","0.01%"
"Jun 05, 1994","31.367","31.370","31.373","31.367","-0.01%"
"May 29, 1994","31.369","31.371","31.381","31.369","-0.01%"
"May 22, 1994","31.371","31.371","31.374","31.364","0.00%"
"May 15, 1994","31.370","31.370","31.375","31.365","0.00%"
"May 08, 1994","31.369","31.371","31.376","31.366","-0.00%"
"May 01, 1994","31.370","31.373","31.383","31.367","0.01%"
"Apr 24, 1994","31.367","31.373","31.388","31.363","-0.01%"
"Apr 17, 1994","31.370","31.370","31.375","31.367","0.01%"
"Apr 10, 1994","31.366","31.369","31.371","31.356","0.00%"
"Apr 03, 1994","31.365","31.370","31.377","31.365","0.00%"
"Mar 27, 1994","31.365","31.373","31.383","31.365","-0.00%"
"Mar 20, 1994","31.366","31.371","31.374","31.366","-0.01%"
"Mar 13, 1994","31.370","31.370","31.377","31.367","0.00%"
"Mar 06, 1994","31.370","31.398","31.420","31.365","-0.09%"
"Feb 27, 1994","31.398","31.367","31.470","31.362","0.09%"
"Feb 20, 1994","31.370","31.373","31.375","31.365","0.01%"
"Feb 13, 1994","31.366","31.371","31.381","31.366","-0.00%"
"Feb 06, 1994","31.367","31.370","31.373","31.365","-0.01%"
"Jan 30, 1994","31.369","31.371","31.374","31.366","-0.01%"
"Jan 23, 1994","31.371","31.369","31.380","31.366","0.01%"
"Jan 16, 1994","31.369","31.371","31.374","31.369","0.00%"
"Jan 09, 1994","31.369","31.369","31.379","31.364","0.01%"
"Jan 02, 1994","31.366","31.371","31.381","31.366","-0.01%"
"Dec 26, 1993","31.369","31.369","31.381","31.366","-0.00%"
"Dec 19, 1993","31.370","31.367","31.385","31.365","0.01%"
"Dec 12, 1993","31.367","31.370","31.373","31.365","-0.01%"
"Dec 05, 1993","31.369","31.369","31.374","31.366","-0.00%"
"Nov 28, 1993","31.370","31.370","31.373","31.367","-0.01%"
"Nov 21, 1993","31.373","31.370","31.375","31.365","0.02%"
"Nov 14, 1993","31.367","31.370","31.373","31.367","-0.01%"
"Nov 07, 1993","31.371","31.371","31.376","31.366","0.00%"
"Oct 31, 1993","31.370","31.370","31.375","31.367","-0.00%"
"Oct 24, 1993","31.371","31.369","31.376","31.366","0.00%"
"Oct 17, 1993","31.370","31.370","31.373","31.362","0.00%"
"Oct 10, 1993","31.370","31.367","31.375","31.367","-0.01%"
"Oct 03, 1993","31.373","31.370","31.375","31.365","0.01%"
"Sep 26, 1993","31.371","31.369","31.386","31.364","0.00%"
"Sep 19, 1993","31.370","31.367","31.375","31.365","0.01%"
"Sep 12, 1993","31.366","31.371","31.376","31.364","-0.02%"
"Sep 05, 1993","31.371","31.371","31.376","31.366","0.00%"
"Aug 29, 1993","31.371","31.374","31.389","31.364","-0.02%"
"Aug 22, 1993","31.377","31.370","31.400","31.362","0.02%"
"Aug 15, 1993","31.371","31.369","31.374","31.366","0.00%"
"Aug 08, 1993","31.370","31.365","31.380","31.355","-0.02%"
"Aug 01, 1993","31.375","31.367","31.383","31.363","0.02%"
"Jul 25, 1993","31.368","31.387","31.407","31.368","-0.03%"
"Jul 18, 1993","31.377","31.377","31.402","31.358","0.02%"
"Jul 11, 1993","31.370","31.380","31.385","31.370","0.01%"
"Jul 04, 1993","31.368","31.368","31.392","31.368","0.03%"
"Jun 27, 1993","31.358","31.392","31.437","31.260","-0.06%"
"Jun 20, 1993","31.377","31.456","31.481","31.338","-0.22%"
"Jun 13, 1993","31.447","31.476","31.546","31.358","0.02%"
"Jun 06, 1993","31.442","31.392","31.491","31.343","0.22%"
"May 30, 1993","31.373","31.387","31.437","31.353","0.02%"
"May 23, 1993","31.368","31.338","31.437","31.304","0.17%"
"May 16, 1993","31.316","31.336","31.355","31.306","-0.01%"
"May 09, 1993","31.319","31.333","31.368","31.309","-0.02%"
"May 02, 1993","31.326","31.355","31.355","31.311","-0.05%"
"Apr 25, 1993","31.343","31.348","31.461","31.289","0.11%"
"Apr 18, 1993","31.309","31.353","31.382","31.304","-0.03%"
"Apr 11, 1993","31.319","31.255","31.560","31.245","0.31%"
"Apr 04, 1993","31.221","31.260","31.294","31.167","0.08%"
"Mar 28, 1993","31.196","31.372","31.372","31.129","-0.39%"
"Mar 21, 1993","31.319","31.461","31.560","31.319","-0.31%"
"Mar 14, 1993","31.417","31.601","31.601","31.417","-0.35%"
"Mar 07, 1993","31.528","31.653","31.728","31.400","-0.22%"
"Feb 28, 1993","31.596","32.920","33.358","31.596","-3.87%"
"Feb 21, 1993","32.868","32.922","33.471","32.787","0.30%"
"Feb 14, 1993","32.771","33.266","33.294","32.431","-0.95%"
"Feb 07, 1993","33.085","32.628","33.725","32.549","1.86%"
"Jan 31, 1993","32.481","31.432","32.934","31.231","3.52%"
"Jan 24, 1993","31.377","30.888","31.610","30.888","1.65%"
"Jan 17, 1993","30.867","30.786","30.919","30.687","0.33%"
"Jan 10, 1993","30.765","30.812","30.878","30.722","-0.03%"
"Jan 03, 1993","30.774","30.855","30.950","30.760","-0.18%"
"Dec 27, 1992","30.831","30.798","30.945","30.741","0.23%"
"Dec 20, 1992","30.760","30.769","30.874","30.689","0.11%"
"Dec 13, 1992","30.727","30.831","30.878","30.614","-0.26%"
"Dec 06, 1992","30.807","30.878","30.907","30.689","0.28%"
"Nov 29, 1992","30.722","30.153","30.983","30.085","1.96%"
"Nov 22, 1992","30.130","30.107","30.317","29.936","0.38%"
"Nov 15, 1992","30.015","30.131","30.181","30.015","-0.23%"
"Nov 08, 1992","30.084","30.130","30.202","29.994","-0.11%"
"Nov 01, 1992","30.116","30.107","30.317","30.039","0.18%"
"Oct 25, 1992","30.062","30.271","30.271","30.030","-0.49%"
"Oct 18, 1992","30.211","30.057","30.395","29.967","0.65%"
"Oct 11, 1992","30.017","30.053","30.129","29.954","-0.10%"
"Oct 04, 1992","30.048","30.039","30.175","29.972","0.10%"
"Sep 27, 1992","30.017","30.062","30.170","29.949","-0.03%"
"Sep 20, 1992","30.026","30.111","30.170","29.999","-0.21%"
"Sep 13, 1992","30.089","30.062","30.225","29.958","0.24%"
